,orderID,anon_customer,order_date,start_ship_date,anon_rep,anon_product_line,anon_product,Qty (Units),line_item_total,anon_category
0,5f712196,Customer_1,2021-04-30 10:30 AM,2021-05-04,Sales Rep_1,Product_Line_1,Product_1,1.0,"$1,900.00",Category_1
1,5f712196,Customer_1,2021-04-30 10:30 AM,2021-05-04,Sales Rep_1,Product_Line_1,Product_2,1.0,"$1,600.00",Category_1
2,7ccfaaa0,Customer_2,2021-05-05 12:52 PM,2021-05-10,Sales Rep_2,Product_Line_2,Product_3,70.0,$350.00,Category_2
3,7ccfaaa0,Customer_2,2021-05-05 12:52 PM,2021-05-10,Sales Rep_2,Product_Line_1,Product_1,1.0,"$1,900.00",Category_1
4,7ccfaaa0,Customer_2,2021-05-05 12:52 PM,2021-05-10,Sales Rep_2,Product_Line_1,Product_2,0.42,$672.00,Category_1
5,7ccfaaa0,Customer_2,2021-05-05 12:52 PM,2021-05-10,Sales Rep_2,Product_Line_2,Product_4,75.0,$375.00,Category_2
6,7ccfaaa0,Customer_2,2021-05-05 12:52 PM,2021-05-10,Sales Rep_2,Product_Line_1,Product_5,1.0,"$1,800.00",Category_1
7,7ccfaaa0,Customer_2,2021-05-05 12:52 PM,2021-05-10,Sales Rep_2,Product_Line_2,Product_6,100.0,$500.00,Category_2
8,5bde53dd,Customer_3,2021-05-06 04:31 PM,2021-05-10,Sales Rep_3,Product_Line_1,Product_5,2.0,"$3,600.00",Category_1
9,763cf5a4,Customer_4,2021-05-06 04:31 PM,2021-05-10,Sales Rep_3,Product_Line_1,Product_5,2.0,"$3,600.00",Category_1
10,e67404ad,Customer_2,2021-05-10 12:52 PM,2021-05-13,Sales Rep_3,Product_Line_1,Product_7,1.0,"$1,600.00",Category_1
11,e67404ad,Customer_2,2021-05-10 12:52 PM,2021-05-13,Sales Rep_3,Product_Line_2,Product_8,100.0,$500.00,Category_2
12,bc688439,Customer_5,2021-05-14 01:00 PM,2021-05-17,Sales Rep_1,Product_Line_1,Product_1,1.0,"$1,700.00",Category_1
13,bc688439,Customer_5,2021-05-14 01:00 PM,2021-05-17,Sales Rep_1,Product_Line_1,Product_9,1.0,"$1,500.00",Category_1
14,bc688439,Customer_5,2021-05-14 01:00 PM,2021-05-17,Sales Rep_1,Product_Line_1,Product_5,1.0,"$1,700.00",Category_1
15,432ec50b,Customer_6,2021-05-26 11:09 AM,2021-06-02,Sales Rep_1,Product_Line_1,Product_1,191.0,"$1,146.00",Category_1
16,432ec50b,Customer_6,2021-05-26 11:09 AM,2021-06-02,Sales Rep_1,Product_Line_3,Product_10,82.0,$492.00,Category_1
17,432ec50b,Customer_6,2021-05-26 11:09 AM,2021-06-02,Sales Rep_1,Product_Line_3,Product_11,210.0,"$3,150.00",Category_1
18,432ec50b,Customer_6,2021-05-26 11:09 AM,2021-06-02,Sales Rep_1,Product_Line_2,Product_12,102.0,$510.00,Category_2
19,432ec50b,Customer_6,2021-05-26 11:09 AM,2021-06-02,Sales Rep_1,Product_Line_1,Product_13,149.0,$894.00,Category_1
